"","Cluster","nome_coluna","V1"
"45",15,"c(""FIELD.ASSIGNMENT_RHS.INSERTED.global.length"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"")",19
"46",15,"c(""FIELD.ASSIGNMENT_RHS.INSERTED.global.length"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"")",1
"47",16,"FIELD.METHOD_CALL.REMOVED.global.global",9
"48",17,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.INSERTED.global.return"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.charCodeAt"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"")",116
"49",17,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.INSERTED.global.return"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.charCodeAt"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"")",4
"50",17,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.INSERTED.global.return"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.charCodeAt"", ""RESERVED.ARGUMENT.REMOVED.global.error"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"")",1
"51",18,"c(""RESERVED.ASSIGNMENT_RHS.INSERTED.global.null"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"")",25
"52",18,"c(""RESERVED.ASSIGNMENT_RHS.INSERTED.global.null"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"")",2
"53",19,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",22
"54",19,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
